word,pos,meaning,altMeanings,rawMeaning,confidence,source,sources,rawSeparators
throw off ～,phrase,さっと脱ぐ,払いのける,(衣服など)をさっと脱ぐ[脱ぎ捨てる]、～を払いのける,0.4503,,passtan1,1
throw up (～),phrase,嘔吐する,吐く,嘔吐する、(食べ物)を吐く,0.4503,,passtan1,1
tidy up ～,phrase,片付ける,整理する,(部屋・家・机など)を片付ける、～を整理する,0.4503,,passtan1,1
tie,verb,縛る,結ぶ,（荷物など）を縛る （ひも，ネクタイなど）を結ぶ ネクタイ（＝necktie)（家族などの）きずな,0.4503,,leap,1
tiresome,adjective,退屈な,うんざりする,退屈な，うんざりする,0.4503,,leap,1
to one's feet,noun,立って,立った状態で,立って、立った状態で,0.4503,,teppeki,1
toe,noun,足の指,つま先,足の指、つま先,0.4503,,teppeki,1
tool,noun,道具,工具,道具、工具,0.4503,,teppeki,1
touch up ～,phrase,手直しする,修正する,(絵・文章・化粧など)を手直しする、～を修正する,0.4503,,passtan1,1
trespass,verb,侵入する,侵害する,(不法)侵入する、侵害する,0.4503,,passtan1,1
trifle,noun,ささいな事,くだらない事,"ささいな事, くだらない事",0.4503,,teppeki,1
trouble,noun,問題,ごたごた,問題，ごたごた（通例〈不可算〉) ～を困らせる,0.4503,,leap,1
try out ～,phrase,試してみる,の効果を試す,～を試してみる、～の効果を試す,0.4503,,passtan1,1
turmoil,noun,混乱,騒ぎ,混乱 / 騒ぎ,0.4503,,"leap,eiken1",1
turn in (～),phrase,提出する,寝る,～を提出する、寝る,0.4503,,passtan1,1
twin,noun,双子の一方,双生児,双子の一方、双生児,0.4503,,systan,1
ultraviolet,adjective,紫外,紫外線の,紫外 / 紫外線の,0.4503,,"systan,eiken1",1
unaware,noun,気づかないで,知らないで,気づかないで、知らないで,0.4503,,passtan1,1
unconditional,adjective,無条件の,絶対的な,無条件の、絶対的な,0.4503,,passtan1,1
underground,noun,地下の,秘密の,地下の、秘密の,0.4503,,passtan1,1
uneven,noun,こぼこな,平でない,でこぼこな、平でない,0.4503,,passtan1,1
unfairly,adverb,不当に,不公平に,不当に、不公平に,0.4503,,passtan1,1
uniquely,adverb,比類なく,独特に,比類なく、独特に,0.4503,,passtan1,1
unpredictable,noun,変わりやすい,予測できない,変わりやすい、予測できない,0.4503,,passtan1,1
unsafe,adjective,安全でない,危険な,安全でない、危険な,0.4503,,passtan1,1
upbringing,noun,養育,しつけ,(子供の)養育、しつけ,0.4503,,passtan1,1
upheaval,noun,大変動,激変,大変動 / （社会・政治などの）激変,0.4503,,"leap,eiken1",1
utmost,noun,最大の,最も,最大の / 最も,0.4503,,"teppeki,systan",1
vice versa,noun,その逆,逆もまた同様,その逆、逆もまた同様,0.4503,,teppeki,1
victorious,noun,勝利を得た,勝ち誇った,勝利を得た、勝ち誇った,0.4503,,passtan1,1
viewpoint,noun,観点,見地,観点、見地,0.4503,,teppeki,1
violent,adjective,激しい,暴力的な,（人・気質などが）激しい / 暴力的な,0.4503,,target1900,1
wash away ～,phrase,洗い流す,洗い去る,～を洗い流す、(記憶・感情など)を洗い去る,0.4503,,passtan1,1
wash down ～,phrase,流し込む,洗い流す,(食べ物など)を流し込む、～を洗い流す,0.4503,,passtan1,1
weep,verb,泣く,しくしく泣く,泣く / しくしく泣く,0.4503,,"systan,leap",1
well-being,noun,健康,幸福,健康、幸福,0.4503,,passtan1,1
wholly,adverb,完全に,全く,完全に、全く,0.4503,,passtan1,1
wipe out,phrase,消し去る,絶滅させる,～を消し去る、絶滅させる,0.4503,,teppeki,1
wipe out ～,phrase,させる,撲滅する,～を消滅[絶滅]させる、～を撲滅する,0.4503,,passtan1,1
workout,noun,運動,練習,運動、(運動競技の)練習,0.4503,,passtan1,1
worry,verb,心配する,心配をする,心配する / 心配をする 心配（事）,0.4503,,"systan,leap",1
(at) first hand,noun,じかに,直接,じかに 直接,0.4503,,sokujuku,0
～ as well,noun,同様に,もまた,同様に～ ～もまた,0.4503,,sokujuku,0
a handful of ～,noun,ひと握りの,少数の,ひと握りの～ 少数の～,0.4503,,sokujuku,0
a host of ～,noun,たくさんの,多数の,たくさんの～ 多数の～,0.4503,,sokujuku,0
a lot of ～,noun,多数の,多量の,多数の～ 多量の～,0.4503,,sokujuku,0
a number of ～,noun,たくさんの,いくつかの,たくさんの～ いくつかの～,0.4503,,sokujuku,0
a piece of＋不可算名詞,noun,１点,１件,1つ １点 １件,0.4503,,sokujuku,0
above all (else),noun,何よりもまず,りわけ,何よりもまず とりわけ,0.4503,,sokujuku,0
accept A as B,phrase,として認める,受け入れる,AをBとして認める 受け入れる,0.4503,,sokujuku,0
according to ～,noun,よると,従って,～によると ～に従って,0.4503,,sokujuku,0
adapt A to 〔for〕 B,phrase,に適応させる,に適合させる,AをBに適応させる AをBに適合させる,0.4503,,sokujuku,0
adapt to ～,phrase,適応する,順応する,～に適応する ～に順応する,0.4503,,sokujuku,0
afterward(s),adverb,その後,の後,（文頭で）その後 （～afterward）～の後,0.4503,,leap,0
aim at ～,phrase,目指す,ねらう,～を目指す ～をねらう,0.4503,,sokujuku,0
all but ～,noun,ほとんど,以外全部,ほとんど～ ～以外全部,0.4503,,sokujuku,0
all the time,noun,いつも,その間ずっと,いつも その間ずっと,0.4503,,sokujuku,0
apart from ～,noun,は別として,の他は,～は別として ～の他は,0.4503,,sokujuku,0
apply for ～,phrase,申し込む,応募する,～に申し込む ～に応募する,0.4503,,sokujuku,0
approve of ～,phrase,よいと認める,賛成する,～をよいと認める ～に賛成する,0.4503,,sokujuku,0
as a (general) rule,noun,概して,普通は,概して 普通は,0.4503,,sokujuku,0
as for ～,noun,関して,ついて,～に関して ～について（言うと）,0.4503,,sokujuku,0
as of ～,noun,の時点で,現在で,～の時点で ～現在で,0.4503,,sokujuku,0
as often as not,noun,たいてい,しばしば,たいてい しばしば,0.4503,,sokujuku,0
as to ～,noun,関して,ついて,～に関して ～について（言うと）,0.4503,,sokujuku,0
as yet,noun,今のところ,現時点では,今のところ 現時点では,0.4503,,sokujuku,0
aside from ～,noun,は別にして,加えて,～は別にして〔除いて〕 ～に加えて,0.4503,,sokujuku,0
at (one's) ease,noun,気楽に,安心して,気楽に 安心して,0.4503,,sokujuku,0
at (the) most,noun,せいぜい,多くて,せいぜい 多くて,0.4503,,sokujuku,0
at best,noun,よくても,せいぜい,よくても せいぜい,0.4503,,sokujuku,0
at heart,noun,心の底では,根は,心の底では 根は,0.4503,,sokujuku,0
at home,noun,家で,本国で,家で 本国で,0.4503,,sokujuku,0
at intervals,noun,間隔をおいて,時折,間隔をおいて 時折,0.4503,,sokujuku,0
at odds with ～,noun,争って,反目して,～と争って ～と反目して,0.4503,,sokujuku,0
at times,noun,時々,たまには,時々 たまには,0.4503,,sokujuku,0
at work,noun,仕事中で,活動中で,仕事中で 活動中で,0.4503,,sokujuku,0
bar A from B,phrase,を禁止する,から締め出す,AにBを禁止する AをBから締め出す,0.4503,,sokujuku,0
be absorbed in ～,phrase,没頭する,夢中になる,～に没頭する ～に夢中になる,0.4503,,sokujuku,0
be conscious of ～,phrase,意識している,気づいている,～を意識している ～に気づいている,0.4503,,sokujuku,0
be cut out for 〔to be〕 ～,phrase,向いている,適している,～に向いている ～に適している,0.4503,,sokujuku,0
be engaged in ～,phrase,興じる,従事している,～にに興じる ～に従事している,0.4503,,sokujuku,0
be equipped with ～,phrase,備えている,装備している,～を備えている ～を装備している,0.4503,,sokujuku,0
be native to ～,phrase,の原産である,なじみがある,（動植物が）～の原産である ～になじみがある,0.4503,,sokujuku,0
be responsible for ～,phrase,の原因である,責任がある,～の原因である ～に責任がある,0.4503,,sokujuku,0
be unique to ～,phrase,特有である,固有である,～に特有である ～に固有である,0.4503,,sokujuku,0
be worried about ～,phrase,心配する,気にする,～を心配する ～を気にする,0.4503,,sokujuku,0
become aware of ～,phrase,気づく,認識する,～に気づく ～を認識する,0.4503,,sokujuku,0
boast about 〔of〕 ～,phrase,自慢する,誇る,～を自慢する ～を誇る,0.4503,,sokujuku,0
break in,phrase,侵入する,押し入る,侵入する 押し入る,0.4503,,sokujuku,0
bring ～ into being 〔existence〕,phrase,生み出す,産む,～を生み出す ～（子）を産む,0.4503,,sokujuku,0
broaden,verb,広げる,広がる,～を広げる 広がる,0.4503,,leap,0
bunker,noun,掩蔽,壕,掩蔽(えんぺい)壕,0.4503,,eiken1,0
burn,verb,焼ける,燃やす,焼ける ～を燃やす,0.4503,,leap,0
burn down (～),phrase,全焼させる,焼け落ちる,～を全焼させる 焼け落ちる,0.4503,,sokujuku,0
but for ～,noun,除いて,なければ,～を除いて（～以外は） ～がなければ〔～がなかったら〕,0.4503,,sokujuku,0
by accident 〔chance〕,noun,たまたま,偶然,たまたま 偶然,0.4503,,sokujuku,0
by all means,noun,何としても,ぜひとも,何としても ぜひとも,0.4503,,sokujuku,0
by chance,noun,たまたま,偶然,たまたま 偶然,0.4503,,sokujuku,0
by degrees,noun,次第に,徐々に,次第に 徐々に,0.4503,,sokujuku,0
by far,noun,ずばぬけて,ずっと,ずばぬけて ずっと,0.4503,,sokujuku,0
by mistake,noun,間違って,誤って,間違って 誤って,0.4503,,sokujuku,0
by way of ～,noun,通って,経由で,～を通って ～経由で,0.4503,,sokujuku,0
calm down (～),phrase,静まる,静める,静まる ～を静める,0.4503,,sokujuku,0
care about ～,phrase,関心がある,気にかける,～に関心がある ～を気にかける,0.4503,,sokujuku,0
carry on (～),phrase,し続ける,継続する,～し続ける 継続する,0.4503,,sokujuku,0
carry out ～,phrase,実行する,果たす,～を実行する ～を果たす,0.4503,,sokujuku,0
catch on （to ～),phrase,つかむ,広まる,～（意味など）をつかむ 広まる,0.4503,,sokujuku,0
catch sight of ～,phrase,見かける,見つける,～を見かける ～を見つける,0.4503,,sokujuku,0
cheer up ～,phrase,元気づける,励ます,～を元気づける ～を励ます,0.4503,,sokujuku,0
clear up ～,phrase,解く,晴れる,～（疑問・誤解など）を解く 晴れる,0.4503,,sokujuku,0
cling to ～,phrase,しがみつく,固執する,～にしがみつく ～に固執する,0.4503,,sokujuku,0
coastal,noun,沿岸,の,沿岸(地方)の,0.4503,,passtan1,0
coincide with ～,phrase,同時に起こる,一致する,～と同時に起こる ～と一致する,0.4503,,sokujuku,0
come into being 〔existence〕,phrase,生まれる,出現する,生まれる 出現する,0.4503,,sokujuku,0
come of age,phrase,成人に達する,大人になる,成人に達する 大人になる,0.4503,,sokujuku,0
come to light,phrase,明らかになる,明るみに出る,明らかになる 明るみに出る,0.4503,,sokujuku,0
commit 〔make〕 an error,phrase,過ちを犯す,間違える,過ちを犯す 間違える,0.4503,,sokujuku,0
compare A with 〔to〕 B,phrase,と比較する,にたとえる,AをBと比較する AをBにたとえる,0.4503,,sokujuku,0
compensate for ～,phrase,埋め合わせる,補償する,～を埋め合わせる ～（損失など）を補償する,0.4503,,sokujuku,0
confine A to B,phrase,内にとどめる,に限定する,AをB内にとどめる AをBに限定する,0.4503,,sokujuku,0
consist in ～,phrase,ある,存在する,～にある ～に存在する,0.4503,,sokujuku,0
coral,noun,サンゴ,の,サンゴ(製)の,0.4503,,passtan1,0
correspond with ～,phrase,一致する,文通する,～と一致する ～と文通する,0.4503,,sokujuku,0
count on 〔upon〕 ～,phrase,当てにする,頼る,～を当てにする ～に（当然のように）頼る,0.4503,,sokujuku,0
cut back 〔down〕 (on) ～,phrase,減らす,切り詰める,～を減らす ～を切り詰める,0.4503,,sokujuku,0
deal with ～,phrase,処理する,対処する,～を処理する ～に対処する,0.4503,,sokujuku,0
decide on 〔upon〕 ～,phrase,選ぶ,決定する,～を選ぶ ～を決定する,0.4503,,sokujuku,0
depend on 〔upon〕 ～,phrase,次第である,頼りにする,～次第である ～を頼りにする,0.4503,,sokujuku,0
dependent on 〔upon〕 ～,phrase,依存している,頼っている,～に依存している ～に頼っている,0.4503,,sokujuku,0
dozens of ～,noun,何十もの,多数の,何十もの～ 多数の～,0.4503,,sokujuku,0
drive at ～,phrase,意図する,言おうとする,～を意図する ～を言おうとする,0.4503,,sokujuku,0
drop out of ～,phrase,手を引く,脱落する,～から手を引く ～から脱落する,0.4503,,sokujuku,0
due to ～,noun,のために,のせいで,～のために ～のせいで,0.4503,,sokujuku,0
early on,noun,早い段階で,初期に,早い段階で 初期に,0.4503,,sokujuku,0
engage in ～,phrase,従事する,関与する,～に従事する ～に関与する,0.4503,,sokujuku,0
enter into 〔on〕 ～,phrase,始める,取り掛かる,～（新しい仕事など）を始める ～に取り掛かる,0.4503,,sokujuku,0
experience,noun,経験,体験,経験 （個々の）体験 ～を経験する,0.4503,,leap,0
fabulous,adjective,ても素敵な,莫大な,とても素敵な 莫大な,0.4503,,leap,0
fail in ～,phrase,失敗する,怠る,～に失敗する ～を怠る,0.4503,,sokujuku,0
feed on ～,phrase,餌にする,常食にする,～を餌にする ～を常食にする,0.4503,,sokujuku,0
fill in ～,phrase,書き込む,埋める,（必要事項を）～に書き込む ～を埋める,0.4503,,sokujuku,0
first of all,noun,第一に,まず,第一に まず,0.4503,,sokujuku,0
focus on ～,phrase,集中する,焦点を当てる,～に集中する ～に焦点を当てる,0.4503,,sokujuku,0
for fear of ～,noun,恐れて,のないように,～を恐れて ～のないように,0.4503,,sokujuku,0
for free,noun,無料で,ただで,無料で ただで,0.4503,,sokujuku,0
for good 〔ever〕,noun,永久に,これっきり,永久に これっきり,0.4503,,sokujuku,0
for nothing,noun,無駄に,ただで,無駄に ただで,0.4503,,sokujuku,0
for the most part,noun,たいてい,大部分は,たいてい 大部分は,0.4503,,sokujuku,0
for the present,noun,差し当たり,りあえず今は,差し当たり とりあえず今は,0.4503,,sokujuku,0
for want 〔lack〕 of ～,noun,の不足のため,ないので,～の不足のため ～がないので,0.4503,,sokujuku,0
framework,noun,枠組,骨組み,枠組 骨組み,0.4503,,leap,0
furlough,noun,賜暇,休暇,（軍人などの）賜暇(しか)・休暇,0.4503,,eiken1,0
furnish A with B,phrase,与える,供給する,AにB（必要な物）を与える 供給する,0.4503,,sokujuku,0
gather,verb,集める,集まる,～を集める 集まる,0.4503,,leap,0
get angry,phrase,怒る,腹を立てる,怒る 腹を立てる,0.4503,,sokujuku,0
get in contact with ～,phrase,連絡を取る,接触する,～に連絡を取る ～と接触する,0.4503,,sokujuku,0
get involved in 〔with〕 ～,phrase,巻き込まれる,関わる,～に巻き込まれる ～に関わる,0.4503,,sokujuku,0
get through ～,phrase,乗り切る,切り抜ける,～（困難など）を乗り切る ～を切り抜ける,0.4503,,sokujuku,0
give ～ a try,phrase,試してみる,挑戦してみる,～を試してみる 挑戦してみる,0.4503,,sokujuku,0
give birth to ～,phrase,生む,の原因となる,～を生む〔産む〕 ～の原因となる,0.4503,,sokujuku,0
give out （～）,phrase,尽きる,配布する,（体力・忍耐・貯えなどが）尽きる ～を配布する,0.4503,,sokujuku,0
give up ～,phrase,あきらめる,やめる,～をあきらめる ～をやめる,0.4503,,sokujuku,0
go a long way to 〔toward(s) ; in〕 ～,phrase,大いに役立つ,効果がある,～に大いに役立つ 効果がある,0.4503,,sokujuku,0
go astray,phrase,道に迷う,なくなる,道に迷う （ものが）なくなる,0.4503,,sokujuku,0
go back to ～,phrase,戻る,さかのぼる,～へ戻る ～にさかのぼる,0.4503,,sokujuku,0
go by,phrase,経過する,通り過ぎる,経過する 通り過ぎる,0.4503,,sokujuku,0
go into effect,phrase,発効する,実施される,（法律などが）発効する 実施される,0.4503,,sokujuku,0
go on (with ～),phrase,続ける,続く,～を続ける 続く,0.4503,,sokujuku,0
go out,phrase,外出する,消える,外出する 消える,0.4503,,sokujuku,0
go through ～,phrase,経験する,通過する,～を経験する ～を通過する,0.4503,,sokujuku,0
go with ～,phrase,同調する,調和する,～と同調する ～と調和する,0.4503,,sokujuku,0
have (a) good command of ～,phrase,使いこなせる,堪能である,～を使いこなせる ～（言語など）に堪能である,0.4503,,sokujuku,0
have yet to do,noun,まだ...し,ない,まだ...し（てい）ない,0.4503,,sokujuku,0
head,verb,向かう,率いる,向かう ～を率いる,0.4503,,leap,0
hold true 〔good〕,phrase,当てはまる,適用できる,当てはまる 適用できる,0.4503,,sokujuku,0
ill at ease,noun,居心地が悪い,落ち着かない,居心地が悪い 落ち着かない,0.4503,,sokujuku,0
impose A on B,phrase,に課す,押し付ける,AをBに課す 押し付ける,0.4503,,sokujuku,0
in a hurry,noun,急いで,慌てて,急いで 慌てて,0.4503,,sokujuku,0
in a word,noun,一言で言えば,要するに,一言で言えば 要するに,0.4503,,sokujuku,0
in accordance with ～,noun,従って,通りに,～に従って〔合致して〕 ～通りに,0.4503,,sokujuku,0
in addition (to ～),noun,加えて,さらに,（～に）加えて さらに,0.4503,,sokujuku,0
in all,noun,全部で,合計で,全部で 合計で,0.4503,,sokujuku,0
in charge of ～,noun,担当して,の責任者で,～を担当して ～の責任者で,0.4503,,sokujuku,0
in effect,noun,実際は,事実上,実際は 事実上,0.4503,,sokujuku,0
in exchange of 〔for〕 ～,noun,引き換えに,の代わりに,～と引き換えに ～の代わりに,0.4503,,sokujuku,0
in fact 〔reality〕,noun,実は,実際には,実は 実際には,0.4503,,sokujuku,0
in honor of ～,noun,敬意を表して,祝って,～に敬意を表して ～を祝って,0.4503,,sokujuku,0
in order,noun,正常な状態で,整然と,正常な状態で 整然と,0.4503,,sokujuku,0
in other words,noun,言い換えれば,すなわち,言い換えれば すなわち,0.4503,,sokujuku,0
in person,noun,直接,自分で,直接 自分で,0.4503,,sokujuku,0
in practice,noun,実際に,実際上,実際に（は） 実際上,0.4503,,sokujuku,0
in preparation for ～,noun,備えて,の準備で,～に備えて ～の準備で,0.4503,,sokujuku,0
in principle,noun,原則として,原則的には,原則として 原則的には,0.4503,,sokujuku,0
in proportion (to ～),noun,比例して,つり合って,（～に）比例して つり合って,0.4503,,sokujuku,0
in pursuit of ～,noun,探し求めて,得ようとして,～を探し求めて ～を得ようとして,0.4503,,sokujuku,0
in search of ～,noun,探して,求めて,～を探して ～を求めて,0.4503,,sokujuku,0
in secret,noun,ひそかに,内緒で,ひそかに 内緒で,0.4503,,sokujuku,0
in store for ～,noun,待ち受けて,備えて,～を待ち受けて ～に備えて,0.4503,,sokujuku,0
in succession,noun,連続して,次々と,連続して 次々と,0.4503,,sokujuku,0
in the air,noun,広まって,空中に,（噂などが）広まって 空中に,0.4503,,sokujuku,0
in the course of ～,noun,の間に,の過程で,～の間に ～の過程で,0.4503,,sokujuku,0
in the end,noun,結局は,最後には,結局は 最後には,0.4503,,sokujuku,0
in the face of ～,noun,直面して,もかかわらず,～に直面して ～にもかかわらず,0.4503,,sokujuku,0
in the first place,noun,まず,第一に,まず 第一に,0.4503,,sokujuku,0
in the future,noun,将来,今後,将来（に） 今後,0.4503,,sokujuku,0
in trouble,noun,困った,窮地に陥った,困った 窮地に陥った,0.4503,,sokujuku,0
incidence,noun,発生,発生率,発生(率),0.4503,,"passtan1,eiken1",0
incubation,noun,孵,化,孵(ふ)化,0.4503,,eiken1,0
independent of ～,noun,頼らない,独立した,～に頼らない ～から独立した,0.4503,,sokujuku,0
insist on 〔upon〕 ～,phrase,主張する,言い張る,～を主張する ～を言い張る,0.4503,,sokujuku,0
interfere with ～,phrase,妨げる,の邪魔をする,～を妨げる ～の邪魔をする,0.4503,,sokujuku,0
keep in touch with ～,phrase,連絡を取る,接触を保つ,～と連絡を取る ～と接触を保つ,0.4503,,sokujuku,0
kind〔sort〕 of,noun,いくぶん,ちょっと,いくぶん ちょっと,0.4503,,sokujuku,0
later on,noun,あとで,あとになって,あとで あとになって,0.4503,,sokujuku,0
lay out ～,phrase,述べる,の設計をする,～（考えなど）を述べる ～の設計をする,0.4503,,sokujuku,0
lie in ～,phrase,ある,存在する,～にある ～に存在する,0.4503,,sokujuku,0
limit A to B,phrase,に制限する,内にとどめる,AをBに制限する AをB内にとどめる,0.4503,,sokujuku,0
look after ～,phrase,気を配る,の世話をする,気を配る ～の世話をする,0.4503,,sokujuku,0
look back upon 〔on；to〕 ～,phrase,振り返る,回顧する,～を振り返る ～を回顧する,0.4503,,sokujuku,0
look forward to ～,phrase,楽しみにする,期待する,～を楽しみにする ～を期待する,0.4503,,sokujuku,0
look out (for～),phrase,気をつける,用心する,（～に）気をつける 用心する,0.4503,,sokujuku,0
lose one's temper,phrase,腹を立てる,カッとなる,腹を立てる カッとなる,0.4503,,sokujuku,0
lose oneself in ～,phrase,没頭する,夢中になる,～に没頭する ～に夢中になる,0.4503,,sokujuku,0
lose sight of ～,phrase,見失う,見落とす,～を見失う ～を見落とす,0.4503,,sokujuku,0
make a 〔one's〕 living,phrase,収入を得る,生計を立てる,収入を得る 生計を立てる,0.4503,,sokujuku,0
make a mistake,phrase,間違える,失敗する,間違える 失敗する,0.4503,,sokujuku,0
make believe （...）,phrase,ふりをする,装う,（...の）ふりをする （...を）装う,0.4503,,sokujuku,0
make friends with ～,phrase,友達になる,親しくなる,～と友達になる ～と親しくなる,0.4503,,sokujuku,0
make haste,phrase,慌てる,急ぐ,慌てる 急ぐ,0.4503,,sokujuku,0
make much of ～,phrase,重視する,もてはやす,～を重視する ～をもてはやす,0.4503,,sokujuku,0
make sense,phrase,意味を成す,道理にかなう,意味を成す 道理にかなう,0.4503,,sokujuku,0
Mediterranean,noun,地中海,の,地中海(沿岸地域)の,0.4503,,passtan1,0
more often than not,noun,たいてい,しばしば,たいてい しばしば,0.4503,,sokujuku,0
most 〔one；all；some〕 of wh-,noun,すべて,いくつか〕,～のほとんど〔1つ／すべて／いくつか〕,0.4503,,sokujuku,0
neighbor,noun,近所の人,隣の人,近所の人 （a next-door ―）隣の人,0.4503,,leap,0
next to ～,noun,次いで,ほとんど,～に次いで ほとんど,0.4503,,sokujuku,0
no more than ～,noun,たった,ほんの,（数・量などが）たった～ ほんの～,0.4503,,sokujuku,0
not ... either,noun,も,...ない,～も（また）...ない,0.4503,,sokujuku,0
nothing but ～,noun,すぎない,だけ,～にすぎない ～だけ,0.4503,,sokujuku,0
on (the 〔an〕) average,noun,平均して,概して,平均して 概して,0.4503,,sokujuku,0
on 〔in〕 behalf of ～,noun,の代理として,のために,～の代理として ～のために,0.4503,,sokujuku,0
on 〔in〕 one's behalf,noun,代わって,のために,～に代わって ～のために,0.4503,,sokujuku,0
on and on,noun,どんどん,引き続き,どんどん 引き続き,0.4503,,sokujuku,0
on behalf of ～,noun,代表して,のため,～を代表して ～のため,0.4503,,leap,0
on duty,noun,勤務中で,当直で,勤務中で 当直で,0.4503,,sokujuku,0
on second thought(s),noun,考え直して,やっぱり,考え直して やっぱり,0.4503,,sokujuku,0
on the rise,noun,上昇中で,増加中で,上昇中で 増加中で,0.4503,,sokujuku,0
once (and) for all,noun,これを最後に,きっぱりと,これを最後に きっぱりと,0.4503,,sokujuku,0
one of these days,noun,そのうち,近いうちに,そのうち 近いうちに,0.4503,,sokujuku,0
out of fashion,noun,すたれた,流行遅れの,すたれた 流行遅れの,0.4503,,sokujuku,0
paramount,adjective,最高,の,最高（位）の,0.4503,,eiken1,0
pay,verb,支払う,割に合う,（A for B)（B の代金としてA）を支払う （for A)（A の代金を）支払う （仕事などが）割に合う 給料,0.4503,,leap,0
perfume,noun,香り,香水,香り 香水,0.4503,,leap,0
plenty of ～,noun,多くの,十分な,多くの～ 十分な～,0.4503,,sokujuku,0
prepare for ～,phrase,備える,の準備をする,～に備える ～の準備をする,0.4503,,sokujuku,0
present A with B,phrase,を見せる,を贈る,AにBを見せる AにBを贈る,0.4503,,sokujuku,0
present oneself,phrase,出頭する,出席する,出頭する 出席する,0.4503,,sokujuku,0
pride oneself on ～,phrase,誇りに思う,自慢である,～を誇りに思う ～が自慢である,0.4503,,sokujuku,0
prior to ～,noun,前に,先立って,～より前に ～に先立って,0.4503,,sokujuku,0
provide B for 〔to〕 A,phrase,を供給する,提供する,AにBを供給する 提供する,0.4503,,sokujuku,0
provide for 〔against〕 ～,phrase,与える,備える,～に与える ～に備える,0.4503,,sokujuku,0
pseudoscience,noun,擬似,科学,擬似(えせ)科学,0.4503,,eiken1,0
pull up (～),phrase,止める,車が止まる,～（車）を止める 車が止まる,0.4503,,sokujuku,0
put off ～,phrase,嫌にさせる,延期する,～を嫌にさせる ～を延期する,0.4503,,sokujuku,0
put out ～,phrase,出版する,消す,～（本など）を出版する ～（火・明かりなど）を消す,0.4503,,sokujuku,0
put up with ～,phrase,耐える,我慢する,～に耐える ～を我慢する,0.4503,,sokujuku,0
quite a little ～,noun,かなり多量の,かなりの,かなり多量の～ かなりの～,0.4503,,sokujuku,0
refer to ～,phrase,言及する,参照する,～に言及する ～を参照する,0.4503,,sokujuku,0
refrain from ～,phrase,控える,やめる,～を控える ～をやめる,0.4503,,sokujuku,0
relationship,noun,関係,親密な関係,関係 親密な関係 （ともに〈可算〉）,0.4503,,leap,0
reservation,noun,予約,慎重な姿勢,予約 慎重な姿勢,0.4503,,leap,0
resort to ～,phrase,訴える,頼る,～に訴える ～に頼る,0.4503,,sokujuku,0
run out of ～,phrase,切らす,なくなる,～を切らす ～がなくなる,0.4503,,sokujuku,0
run over ～,phrase,考えてみる,ひく,～（可能性）を考えてみる （車などが）～をひく,0.4503,,sokujuku,0
seat oneself,phrase,座る,着席する,座る 着席する,0.4503,,sokujuku,0
sell,verb,売る,売れる,～を売る 売れる,0.4503,,leap,0
serve,verb,出す,役立つ,（飲食物）を出す ～に役立つ 役立つ,0.4503,,leap,0
set 〔put；lay〕 aside ～,phrase,無視する,取っておく,～をを無視する ～を取っておく,0.4503,,sokujuku,0
set about ～,phrase,始める,取りかかる,～を始める ～に取りかかる,0.4503,,sokujuku,0
share A with B,phrase,と共有する,分かち合う,AをBと共有する 分かち合う,0.4503,,sokujuku,0
single out ～,phrase,特に選び出す,選び出す,～を特に選び出す,0.4503,,"sokujuku,passtan1",0
sink,verb,沈む,沈める,沈む ～を沈める （台所の）流し,0.4503,,leap,0
sit up,phrase,寝ないでいる,きちんと座る,寝ないでいる きちんと座る,0.4503,,sokujuku,0
so to speak 〔say〕,noun,いわば,言ってみれば,いわば 言ってみれば,0.4503,,sokujuku,0
something of a ～,noun,ちょっとした,かなりの,ちょっとした～ かなりの～,0.4503,,sokujuku,0
specialize in ～,phrase,専門に扱う,専攻する,～を専門に扱う ～を専攻する,0.4503,,sokujuku,0
spend,verb,費やす,使う,（時間）を費やす （お金）を使う,0.4503,,leap,0
stand out,phrase,目立つ,際立つ,目立つ 際立つ,0.4503,,sokujuku,0
stand up,phrase,立ち上がる,立っている,立ち上がる 立っている,0.4503,,sokujuku,0
stick to ～,phrase,固執する,くっつく,～（主義・決定など）に固執する ～にくっつく,0.4503,,sokujuku,0
submit to ～,phrase,従う,屈服する,～に従う ～に屈服する,0.4503,,sokujuku,0
subversive,adjective,破壊,させる,（秩序・政府などを）破壊［転覆］させる,0.4503,,eiken1,0
suffer from ～,phrase,患う,苦しむ,～を患う ～で苦しむ,0.4503,,sokujuku,0
take after ～,phrase,追跡する,似ている,～を追跡する （人が）～に似ている,0.4503,,sokujuku,0
take notice of ～,phrase,注意を払う,気に留める,～に注意を払う ～を気に留める,0.4503,,sokujuku,0
take on ～,phrase,引き受ける,帯びる,～を引き受ける ～を帯びる,0.4503,,sokujuku,0
thin,adjective,薄い,やせた,薄い （病的に）やせた （毛が）薄い,0.4503,,leap,0
think highly of ～,phrase,高く評価する,重視する,～を高く評価する ～を重視する,0.4503,,sokujuku,0
think much of ～,phrase,高く評価する,重んじる,～を高く評価する ～を重んじる,0.4503,,sokujuku,0
to be honest (with you),noun,正直に言えば,正直なところ,正直に言えば 正直なところ,0.4503,,sokujuku,0
to be sure,noun,確かに,なるほど,確かに なるほど,0.4503,,sokujuku,0
to begin 〔start〕 with,noun,まず,第一に,まず 第一に,0.4503,,sokujuku,0
